TEXT,CLASS
"Great food and great atmosphere! The chicken tikka masala and garlic naan tasted as if they had come straight from India itself. Because I was so pleased with the entre I ended 
up ordering the gulab jamun desert and mango lassi beverage and again I was nothing but pleased! Also the employees and management were all very attentive and they made
sure we had everything we needed from beginning to end. The manager Matt personally came around even to check on our experience!",truthful
"I had heard good things about Rose Restaurant so I decided to go ahead and give the restaurant a try. The atmosphere was not what I was expecting. Walking through the front door it
felt as if it was a trying way too hard to be modern rather than Indian. The cashier took our orders and was polite, however, when I asked her to make my food mild she must not
have been listening. The food was brought out after waiting for 15 - 20 minutes and it was so spicy I could barely take the flavor of my paneer masala. Overall I was very 
disappointed with my experience.",truthful
"I was driving by rose restaurant one day and decided to give it a try during my lunch break. I am not very familiar with Indian food and don't have the option too try it as I was born in 
Lubbock. However, I am glad that I did because now I know that it is not for me. The  tikka kabobs were way to spicy. I don't know if it were a mistake or all there food is that spicy. 
The sides of the rice dish they gave me were also burned on the edges making it hard to even want to eat. I will not be coming to their establishment again.",truthful
"Rose Restaurant had the most modern and up-to-date atmosphere of any restaurant period. This was my first time trying Indian food and I was very please with what I got. They did an 
AMAZING job of assimilating Indian and American culture, and the chicken tikka pizza showed just that! I will for sure be returning with friends and family!",truthful
"Today is the third time I've come to Gloria Restaurant and I have to say that they have consistently great food. The food tastes like it is straight from India. From the 
fluffy garlic naan to their delicious perfect butter chicken.The service was also so friendly and they constantly were checking on us to make sure that we had everything that we 
needed. 5 stars!!!! I will definitely be coming back.",truthful
"I have been to Gloria Restaurant a couple times but was told to try something else. So I went to Gloria Restaurant to try something new. The servers came to take my order relatively fast and got my food out quickly as well. But the food was decent at best. The bhartiya roti wasn't burnt but was was way to crispy. It felt like I was almost eating a crunchy chip. The food I ordered, which were kabobs, were too salty. The atmosphere was also very cramped looking back. The restaurant was small compared to the others I've been to in Lubbock.",truthful
"Last Saturday I went to this restaurant hoping for a delicious meal at a good Indian restaurant. But me and my family were disappointed. Walking in the restaurant felt like a small and cramped atmosphere. We stayed to give the restaurant a chance and try the food though anyway. However, it turned out my kids didn't even finish their food and my wife and I were disappointed with the biryani dish that we had decided to share. We do not like wasting food but we did not get what we payed for. Stay away from Gloria Restaurant!",truthful
"First off, let me say I have never been to the restaurant in person. But from the reviews online I saw that it was not the best dining place. So instead I ordered there food from 
DoorDash. The food arrived but it did not look as appetizing as it looked on the menu. As I had already ordered the food, I decided to give it a try. However, the curry I had ordered 
was not as good as I wanted it to be. The spices were too much and the flavor was off. I'm not very pleased with the food and will be trying a different Indian restaurant in the 
future.",truthful
"Jasmin Restaurant is the best Indian food I have EVER had. All the meat is well cut and halal so you know it's of good quality. The Beef Karahi dish was by far my favorite. Not 
too mild and not too spicy. The rice was also of good quality and cooked PERFECTLY. All in all I am very pleased with my visit to Jasmin Restaurant. All those positive reviews 
don't lie! BEST INDIAN FOOD EVER!!",truthful
"Jasmin Restaurant's motto is ""Where Customer is a King"" turned out to not be so accurate. The food from the advertisements of the restaurant were completely different from 
what we were given. My husband and I decided to visit this restaurant for our Friday night out, but were not impressed with the service at all. After receiving the food (which 
wasn't horrible but not good either) we were barely ever checked on after. It's like once they had gotten our money they stopped caring about us as customers. Not pleased and 
will not be returning.",truthful
"Coming from India myself I wanted to see if there was food Indian food in Lubbock. The place that was closest to me was Jasmin Restaurant. The restaurant smelled decent and 
they were friendly taking my order. However, I couldn't find anyone to help me after they took my order. I wish they had checked on me more. The shahi paneer that I ordred was 
not too good either. It tasted like it came from a frozen meal. I was hoping since the owners were Indian they would know good Indian food but they did not. I will have to try a
different Indian restaurant in Lubbock.",truthful
"My family and I met for lunch at Jasmin Restaurant on 50th street. This restaurant had the absolute best service that I have ever experienced at any restaurant before. With 
potato pakoda as our appetizer and aloo palak as our main dish, my family and I thoroughly enjoyed our meal. A big thanks from my family to the chef and staff for helping us 
have a great dining experience. We will be returning soon.",truthful
"Good change of pace from burgers, pizza, sandwiches and tacos.Don't expect gourmet Indian food, but it will satisfy your cravings.We ordered Samosas which were really good, 
Tikka masala and butter chicken with rice and naan.All of the food was good and flavorful.Naan was acceptable.I ordered the Indian version of a Chik Fil A sandwich- chicken 
breast dipped in Tikka masala sauce, arugula lettuce, pickles and a creamy sauce.This was a really good sandwich and it was accompanied with fries.A great value.Will 
definitely return when we visit Lubbock.",deceptive
