TEXT,CLASS
"Gerald Kubicki has done it again.  A Dubious Plan, the fifth installment of the Colton Banyon mysteries, delivers on it's promise of adventure, mystery and plenty of sex in yet another engaging and entertaining story.  Kubicki sets the stage for this thriller in the heart of Death Valley.  What starts out as a seemingly adventurous sexual encounter turns into a fight for survival as Cindy uncovers an old WWII war plane in the middle of the desert. I love the author's use of short, quick read chapters as this really fueled the pace of the read and the quick, realistic dialogue kept the characters 3 dimensional and engaging.  This is a great story for many different types of readers.  There is plenty of action, suspense, adventure to keep even the hardest to please reader entertained.  This book will leave you breathless.",deceptive
"Circle of Lies, by Douglas Alan is a fast paced, gritty crime thriller that introduces us to John Delaney, ex-cop turned lawyer who finds himself defending his best friend against embezzlement and murder charges when no one else will believe him.  Alan, a retired trial lawyer, gives us a rather unique look at the ""men behind the curtains"" of the American justice system with this fast paced, exciting read.  Highly recommended!",deceptive
"""Coin for a Killer"" is a fast-paced, page turning thriller.  David Snowden places tight story lines against beautiful backdrops that take readers across the globe.  Anton Okienka, Serbian War Chief, disappears from death row, and triggers one of the largest manhunts ever orchestrated, that involves CIA agents, a British M14 member, and an ex Scottish Intelligence agent. The pace of the story will leave you breathless.  The dialogue is sharp and intriguing.  Overall, this is a great read.  I loved this book.",deceptive
"""Destined to Live, Despite Me: Biblical Truths for Suicide Survivors"" is an incredibly real look into the mind of a suicidal young woman and a testament to the power of faith.  Yolanda Banks, author and suicide survivor, takes us by the hand and shows us what it's like to feel utterly hopeless to the point of taking her own life and how she managed to turn near tragedy into triumph through the power of her faith and God's love. As someone who is close to someone who has attempted suicide and failed, I can appreciate the candid and frank nature that Ms. Banks imparts as she tells her story.  It gives those of us who have watched someone struggle with thoughts of suicide a greater understanding of how tough this struggle really is and how precious one's faith in God can be.",deceptive
"This book is a true testament to the resolve of the human spirit and the ability for us to find a true balance between who we are and who others think we should be.  Dr. Reiter longs for the simple life that exists within a small fishing village in Mexico.  However, he is pulled away from this life into the world of glamour and money thanks to his stature as a plastic surgeon to the stars.  ""Faces Souls and Painted Crows"" chronicles one man's journey through self discovery that ultimately leads to balance and peace.  An amazing story!",deceptive
"This collection of poetry touched me in a very personal place.  After recently losing my brother in law to an unexpected stroke, I found my own struggle with the pain and raw emotion in the words of this incredibly talented poet.  I found myself identifying with many of the profound emotions expressed in this book: the pain, the cries for help, and the utter feeling of helplessness that comes only to those left behind.  An incredible read.",deceptive
"Hobet Secrets Study Guide: Your Key to Exam Success is a no-nonsense approach to studying for and taking the Hobet Exam.  This book includes such helpful hints like proper time management, how to make educated guesses, and how to avoid common pitfalls in order to increase your score.  The guide also includes easy to follow study guide material that is likely to be on the test, streamlining your study focus and increasing your chances for success.  This is a must read for anyone considering taking the Hobet examination and is looking for a sure fire way to succeed.",deceptive
"""How to Get  a Great Job in 90 Days or Less"" by Joe Carroll is not just a bunch of fluff.  It's a logical approach to finding out what drives your life and how to turn that into a viable income.  I enjoyed the easy to read format and the clear, concise way the author conveys his message.  This is definitely a book that my college career counselor should pick up.",deceptive
"As a mother of a twelve year old girl, I found this book to be a tremendous tool for helping me explain to her the realities behind sexual assault.  Gene Gillian is the All American teenage boy who happens to also be a sexual predator.  He can be lurking in any home in any city or town across the nation.  This book helps to demonstrate the evolution of such predators as well as the emotional and physical recovery of ""Connie"", the victim.  This is a must read for anyone with school aged children.",deceptive
"What would you do for $100,000?  It's a question that Trish and Rob have to answer when given the opportunity to receive the kind of money that will change their lives.  But, would they be willing to let someone die for it?  What if they knew that they were next? Donovan Creed is a contract killer, working for both Homeland Security and the mob.  ""Lethal Experiment"" by John Locke is an excellent thriller that chronicles Donovan's struggle to balance his ""work"" with his home life.  Donovan Creed is a round, multilayered character that I find intriguing and real.  The dialogue in this book is engaging and three dimensional.  I loved the twists and the turns and easily identified with Donovan as the hero, even though he was not necessarily a nice guy.  ""Lethal Experiment"" was the first book I have read by Mr. Locke but definitely won't be the last!",deceptive
